step,fid,time,img_per_sec,step_per_sec,sec_per_step
1,432.500000,2.332575,54.874973,54.874973,0.018223
2,428.000000,4.660044,27.467554,54.935109,0.018203
3,419.000000,6.986899,18.320002,54.960006,0.018195
4,411.250000,9.313432,13.743590,54.974362,0.018190
5,403.000000,11.640454,10.996134,54.980671,0.018188
6,391.750000,13.968322,9.163592,54.981551,0.018188
7,379.750000,16.296493,7.854451,54.981154,0.018188
8,364.750000,18.624733,6.872582,54.980653,0.018188
9,348.000000,20.953188,6.108855,54.979699,0.018189
10,329.000000,23.281023,5.498040,54.980403,0.018188
11,310.000000,25.609228,4.998198,54.980181,0.018188
12,295.000000,27.936662,4.581793,54.981515,0.018188
13,271.500000,30.266382,4.229115,54.978491,0.018189
14,252.125000,32.594716,3.927017,54.978237,0.018189
15,229.250000,34.923947,3.665107,54.976603,0.018190
16,210.000000,37.253638,3.435906,54.974497,0.018190
17,192.125000,39.584556,3.233584,54.970934,0.018191
18,176.875000,41.914533,3.053833,54.969001,0.018192
19,162.625000,44.245098,2.892976,54.966541,0.018193
20,158.125000,46.573659,2.748335,54.966693,0.018193
