step,fid,time,img_per_sec,step_per_sec,sec_per_step
1,437.750000,2.330356,54.927218,54.927218,0.018206
2,433.000000,4.659385,27.471436,54.942872,0.018201
3,433.750000,6.987171,18.319287,54.957862,0.018196
4,426.500000,9.316056,13.739720,54.958880,0.018195
5,420.750000,11.644509,10.992305,54.961527,0.018195
6,418.000000,13.974235,9.159714,54.958286,0.018196
7,411.750000,16.303586,7.851034,54.957235,0.018196
8,410.500000,18.632495,6.869719,54.957751,0.018196
9,402.750000,20.961643,6.106392,54.957524,0.018196
10,394.750000,23.290304,5.495849,54.958492,0.018196
11,386.000000,25.620721,4.995956,54.955519,0.018197
12,381.250000,27.951173,4.579414,54.952971,0.018197
13,371.750000,30.281203,4.227045,54.951582,0.018198
14,362.000000,32.610566,3.925108,54.951514,0.018198
15,353.250000,34.939790,3.663445,54.951676,0.018198
16,342.750000,37.270343,3.434366,54.949856,0.018198
17,328.500000,39.600536,3.232280,54.948752,0.018199
18,316.250000,41.929914,3.052713,54.948837,0.018199
19,304.500000,44.259788,2.892016,54.948297,0.018199
20,296.750000,46.589569,2.747396,54.947921,0.018199
