step,fid,time,img_per_sec,step_per_sec,sec_per_step
1,437.750000,3.637735,35.186728,35.186728,0.028420
2,437.500000,5.997496,21.342242,42.684483,0.023428
3,432.250000,8.353495,15.322927,45.968780,0.021754
4,432.250000,10.711037,11.950291,47.801163,0.020920
5,428.250000,13.068926,9.794225,48.971123,0.020420
6,429.000000,15.426957,8.297164,49.782986,0.020087
7,425.500000,17.784572,7.197249,50.380746,0.019849
8,424.500000,20.142776,6.354636,50.837084,0.019671
9,420.000000,22.498754,5.689204,51.202836,0.019530
10,418.750000,24.855847,5.149694,51.496937,0.019419
11,414.250000,27.215885,4.703136,51.734493,0.019329
12,412.750000,29.574581,4.328041,51.936492,0.019254
13,411.250000,31.931216,4.008617,52.112015,0.019189
14,407.250000,34.289755,3.732893,52.260507,0.019135
15,404.250000,36.648097,3.492678,52.390169,0.019088
16,400.000000,39.005403,3.281597,52.505546,0.019046
17,396.000000,41.360703,3.094725,52.610324,0.019008
18,396.250000,43.720023,2.927720,52.698966,0.018976
19,395.500000,46.076871,2.777966,52.781362,0.018946
20,389.250000,48.433219,2.642814,52.856285,0.018919
21,382.500000,50.789707,2.520196,52.924109,0.018895
22,381.000000,53.147493,2.408392,52.984625,0.018873
23,375.500000,55.504882,2.306103,53.040379,0.018854
24,372.750000,57.862767,2.212131,53.091136,0.018836
25,370.750000,60.220664,2.125516,53.137906,0.018819
26,367.250000,62.578987,2.045415,53.180791,0.018804
27,364.250000,64.936634,1.971152,53.221114,0.018790
28,359.500000,67.294763,1.902080,53.258231,0.018776
29,354.750000,69.654833,1.837633,53.291349,0.018765
30,349.250000,72.012580,1.777467,53.324017,0.018753
31,345.000000,74.371049,1.721100,53.354095,0.018743
32,346.000000,76.727227,1.668247,53.383918,0.018732
33,339.000000,79.084395,1.618524,53.411295,0.018723
34,336.500000,81.442495,1.571661,53.436477,0.018714
35,330.000000,83.801244,1.527424,53.459827,0.018706
36,326.500000,86.159656,1.485614,53.482108,0.018698
37,323.000000,88.518111,1.446032,53.503175,0.018690
38,320.250000,90.875555,1.408520,53.523745,0.018683
39,315.000000,93.233428,1.372898,53.543028,0.018677
40,310.250000,95.592312,1.339020,53.560793,0.018670
41,307.250000,97.950979,1.306776,53.577821,0.018664
42,301.250000,100.307851,1.276072,53.595007,0.018658
43,301.250000,102.666025,1.246761,53.610725,0.018653
44,294.000000,105.025116,1.218756,53.625268,0.018648
45,288.250000,107.383230,1.191992,53.639661,0.018643
46,286.000000,109.741218,1.166380,53.653496,0.018638
47,280.750000,112.099871,1.141839,53.666431,0.018634
48,281.250000,114.458441,1.118310,53.678872,0.018629
49,275.750000,116.814896,1.095751,53.691783,0.018625
50,270.750000,119.172631,1.074072,53.703606,0.018621
51,265.000000,121.529642,1.053241,53.715291,0.018617
52,264.250000,123.887017,1.033199,53.726372,0.018613
53,259.500000,126.245350,1.013899,53.736633,0.018609
54,255.375000,128.603633,0.995306,53.746538,0.018606
55,252.750000,130.960545,0.977394,53.756649,0.018602
56,249.500000,133.318707,0.960105,53.765898,0.018599
57,243.125000,135.677203,0.943416,53.774693,0.018596
58,239.875000,138.033484,0.927311,53.784051,0.018593
59,238.750000,140.389591,0.911749,53.793162,0.018590
60,233.875000,142.749780,0.896674,53.800433,0.018587
61,232.000000,145.106848,0.882109,53.808625,0.018584
62,227.625000,147.464015,0.868008,53.816519,0.018582
63,225.250000,149.823049,0.854341,53.823494,0.018579
64,218.375000,152.181604,0.841100,53.830422,0.018577
65,216.125000,154.538226,0.828274,53.837812,0.018574
66,216.125000,156.895678,0.815829,53.844695,0.018572
67,212.125000,159.255656,0.803739,53.850521,0.018570
68,207.625000,161.613044,0.792015,53.857039,0.018568
69,203.500000,163.970160,0.780630,53.863459,0.018565
70,200.000000,166.328033,0.769564,53.869452,0.018563
71,199.250000,168.685653,0.758808,53.875358,0.018561
72,195.750000,171.040842,0.748359,53.881868,0.018559
73,192.750000,173.399548,0.738180,53.887107,0.018557
74,188.000000,175.757386,0.728277,53.892472,0.018555
75,186.625000,178.114586,0.718639,53.897888,0.018554
76,183.500000,180.471687,0.709253,53.903192,0.018552
77,180.625000,182.831662,0.700098,53.907512,0.018550
78,178.375000,185.189381,0.691184,53.912378,0.018549
79,175.250000,187.547084,0.682495,53.917127,0.018547
80,174.250000,189.906681,0.674015,53.921220,0.018546
81,171.250000,192.264581,0.665749,53.925689,0.018544
82,169.000000,194.622185,0.657685,53.930131,0.018543
83,166.750000,196.981386,0.649808,53.934030,0.018541
84,164.375000,199.339564,0.642120,53.938113,0.018540
85,159.375000,201.696667,0.634616,53.942389,0.018538
86,157.500000,204.053284,0.627287,53.946694,0.018537
87,156.000000,206.410986,0.620122,53.950617,0.018535
88,152.000000,208.768868,0.613118,53.954405,0.018534
89,150.500000,211.126761,0.606271,53.958105,0.018533
90,146.000000,213.484719,0.599575,53.961708,0.018532
91,145.750000,215.843160,0.593023,53.965111,0.018530
92,140.875000,218.201502,0.586614,53.968465,0.018529
93,141.250000,220.559864,0.580341,53.971742,0.018528
94,137.000000,222.918012,0.574202,53.975001,0.018527
95,135.125000,225.274945,0.568195,53.978484,0.018526
96,131.875000,227.631284,0.562313,53.982035,0.018525
97,132.250000,229.989599,0.556547,53.985050,0.018524
98,131.250000,232.346045,0.550902,53.988438,0.018522
99,128.125000,234.704094,0.545368,53.991389,0.018521
100,124.375000,237.062145,0.539943,53.994281,0.018520
