step,fid,time,img_per_sec,step_per_sec,sec_per_step
1,231.375000,23.651729,5.411866,5.411866,0.184779
2,223.500000,37.490983,3.414154,6.828309,0.146449
3,211.750000,53.116940,2.409777,7.229332,0.138325
4,204.125000,69.478242,1.842303,7.369214,0.135700
5,193.500000,87.653609,1.460294,7.301468,0.136959
6,186.625000,106.447225,1.202474,7.214843,0.138603
7,177.250000,123.357939,1.037631,7.263416,0.137676
8,170.250000,140.311838,0.912254,7.298030,0.137023
9,161.000000,157.912848,0.810574,7.295163,0.137077
10,154.625000,175.065680,0.731154,7.311542,0.136770
11,146.375000,193.317702,0.662122,7.283347,0.137300
12,140.875000,213.188243,0.600408,7.204900,0.138794
13,135.375000,233.032607,0.549279,7.140632,0.140044
14,128.250000,250.972813,0.510015,7.140216,0.140052
15,121.937500,269.192991,0.475495,7.132429,0.140205
16,115.250000,289.016977,0.442881,7.086089,0.141122
17,108.750000,316.245453,0.404749,6.880731,0.145333
18,104.750000,347.165309,0.368700,6.636608,0.150679
19,100.875000,382.938861,0.334257,6.350883,0.157458
20,97.500000,428.245811,0.298894,5.977875,0.167284
